,Object,RA,DEC,Class
201,AM 1953-260,19 56 28.0000,-25 54 55.280,PRG
202,AM 1957-394,20 00 35.8800,-39 38 57.700,PRG
203,AM 2001-602,20 06 11.7000,-60 12 41.800,PRG
204,AM 2002-563,20 06 49.9100,-56 23 23.700,PRG
205,AM 2005-282,20 08 39.2200,-28 16 12.600,PRG
206,AM 2006-564,20 12 30.5000,-56 49 55.000,PRG
207,AM 2008-543,20 12 23.6900,-54 21 37.000,PRG
208,AM 2012-282,20 15 13.9600,-28 18 25.100,PRG
209,AM 2020-504,20 23 54.9300,-50 39 06.600,PRG
210,AM 2021-724,20 26 31.4000,-72 36 26.000,PRG
211,AM 2024-544,20 27 54.0900,-54 37 59.200,PRG
212,AM 2026-424,20 29 32.4500,-42 30 23.000,PRG
213,AM 2033-260,20 36 23.2495,-25 57 08.939,PRG
214,AM 2034-483,20 38 08.3000,-48 23 04.000,PRG
215,AM 2036-734,20 42 08.5800,-73 37 09.700,PRG
216,AM 2038-323,20 41 15.1200,-32 29 11.100,PRG
217,AM 2044-691,20 48 56.8500,-69 05 31.200,PRG
218,AM 2046-255,20 49 47.2400,-25 41 55.300,PRG
219,AM 2048-440,20 51 50.9800,-43 53 35.800,PRG
220,AM 2048-711,20 53 36.2100,-71 08 28.400,PRG
221,AM 2049-522,20 52 38.3200,-52 13 45.200,PRG
222,AM 2052-260,20 55 19.4232,-25 53 42.486,PRG
223,AM 2052-440,20 55 53.4100,-43 48 48.400,PRG
224,AM 2056-392,21 00 07.8447,-39 17 57.721,PRG
225,AM 2100-725,21 05 38.6900,-72 47 09.000,PRG
226,AM 2102-252,21 05 43.8600,-25 14 16.200,PRG
227,AM 2104-241,21 07 08.8500,-24 02 39.900,PRG
228,AM 2106-641,21 11 37.0200,-64 01 50.200,PRG
229,AM 2107-474,21 10 31.2000,-47 30 31.900,PRG
230,AM 2109-220,21 11 59.8200,-21 52 11.700,PRG
231,AM 2112-705,21 17 38.7735,-70 39 01.239,PRG
232,AM 2116-395,21 20 07.6100,-39 46 07.000,PRG
