Object,RA,DEC,Class
AM 2052-440,20 52 36,-44 00.5,PRG
AM 2056-392,20 56 55,-39 29.7,PRG
AM 2100-725,21 00 33,-72 59.0,PRG
AM 2102-252,21 02 48,-25 26.5,PRG
AM 2104-241,21 04 14,-24 14.8,PRG
AM 2106-641,21 06 13,-64 14.8,PRG
AM 2107-474,21 07 09,-47 42.8,PRG
AM 2109-220,21 09 08,-22 04.7,PRG
AM 2112-705,21 12 59,-70 51.6,PRG
AM 2116-395,21 16 57,-39 58.6,PRG
AM 2127-403,21 27 14,-40 39.4,PRG
AM 2128-302,21 28 11,-30 29.5,PRG
AM 2130-294,21 30 32,-29 43.9,PRG
AM 2131-495,21 31 17,-49 56.0,PRG
AM 2131-254,21 31 39,-25 42.2,PRG
AM 2132-535,21 32 43,-53 54.9,PRG
AM 2134-471,21 34 10,-47 15.6,PRG
AM 2136-492,21 36 07,-49 23.3,PRG
AM 2141-515,21 41 54,-51 55.6,PRG
AM 2145-543,21 45 44,-54 32.3,PRG
AM 2147-490,21 47 51,-49 02.6,PRG
AM 2152-592,21 52 48,-59 21.3,PRG
AM 2155-263,21 55 46,-26 37.2,PRG
AM 2159-330,21 59 48,-33 02.7,PRG
AM 2200-715,22 00 47,-71 56.7,PRG
AM 2201-230,22 01 32,-23  2.4,PRG
AM 2209-715,22 09 02,-71 59.9,PRG
AM 2220-493,22 20 06,-49 32.6,PRG
AM 2223-635,22 23 11,-63 57.3,PRG
AM 2230-481,22 30 42,-48 16.9,PRG
AM 2238-541,22 38 52,-54 15.4,PRG
AM 2240-304,22 40 51,-30 44.6,PRG
AM 2246-581,22 46 12,-58 12.1,PRG
AM 2247-440,22 47 35,-44 05.4,PRG
AM 2248-332,22 48 10,-33 20.3,PRG
AM 2248-324,22 48 49,-32 49.2,PRG
AM 2302-322,23 02 43,-32 24.8,PRG
AM 2308-324,23 08 34,-32 43.5,PRG
AM 2309-235,23 09 33,-23 52.8,PRG
AM 2311-425,23 11 06,-42 52.7,PRG
AM 2313-261,23 13 06,-26 10.7,PRG
AM 2315-495,23 15 33,-49 52.8,PRG
AM 2316-520,23 16 30,-52 02.1,PRG
AM 2317-672,23 17 06,-67 25.3,PRG
AM 2317-672,23 17 10,-67 25.5,PRG
AM 2322-671,23 22 44,-67 19.9,PRG
AM 2323-512,23 23 45,-51 24.7,PRG
AM 2331-705,23 31 30,-70 54.7,PRG
AM 2334-292,23 34 29,-29 22.5,PRG
AM 2338-312,23 38 48,-31 20.0,PRG
AM 2343-703,23 43 49,-70 39.6,PRG
AM 2350-514,23 50 48,-51 42.9,PRG
AM 2353-291,23 53 49,-29 18.3,PRG
