,Column1,Object,Column3,Column4,Column5,Column6,Column7,RA,DEC,Column10
63,64,00601,09 05 28.7,-82 38 59,P,Spher,"Faint smooth ring, nucleus in the ring, close companion at 1 ring diameter",09 01 57.0,-82 50 59
64,65,01802,09 17 06.1,-80 00 47,O,SBa(r),Faint smooth ring,09 15 28.5,-80 13 24
65,66,01803,09 35 34.5,-77 59 38,O,Ellip,Faint smooth ring,09 35 00.9,-78 13 07
66,67,01901,10 12 25.8,-82 23 01,P,Ellip,"Bright ring, interacting, off-center nucleus?, filaments",10 11 08.4,-82 37 54
67,68,01902,10 28 28.4,-81 31 00,P,SBa(r),"Faint smooth ring, interacting?",10 28 04.8,-81 46 23
68,69,00701,11 02 03.8,-83 09 45,P,Ellip,"Broken faint ring?, nucleus in the ring",11 02 15.5,-83 25 56
69,70,00702,11 13 41.3,-83 59 59,P,Ellip,"Smooth ring, nucleus close to the ring",11 14 04.9,-84 16 21
70,71,00703,11 13 51.8,-84 01 56,O,Spher,"Ringed?, Hoag type?",11 14 15.2,-84 18 19
71,72,00704,11 14 48.3,-84 00 57,P,Ellip,"Knotted ring, off-center nucleus",11 15 14.8,-84 17 20
72,73,00705,11 16 28.1,-82 33 14,P,Spher,"Broad warped ring, off-center nucleus, close compact companions",11 17 24.5,-82 49 39
73,74,00706,11 41 06.3,-83 08 32,O,Sa(r),"Smooth ring, very close to bright star",11 42 55.5,-83 25 11
74,75,00602,11 42 34.1,-85 24 15,P,Ellip,"Broad faint ring?, off-center nucleus, very small companion",11 44 05.5,-85 40 55
75,76,00707,12 33 04.4,-83 45 57,P,Ellip,"Smooth ring, nucleus close to the ring, off-center nucleus",12 37 13.7,-84 02 28
76,77,00708,13 22 20.8,-86 53 07,O,Spher,Faint smooth elliptical ring,13 32 52.6,-87 08 37
77,78,00802,13 29 20.3,-84 05 31,P,Spher,"Round ring, knotted?, off-center nucleus, filaments out of the ring? two close companions",13 36 14.1,-84 20 53
78,79,02101,13 41 34.5,-80 31 49,P,Sa/SBa(r),"Perturbed ring or two tight arms?, spiral?",13 47 06.8,-80 46 50
79,80,02201,14 31 56.7,-79 06 20,O,SBa(r),Faint smooth ring,14 38 10.1,-79 19 22
80,81,02202,14 34 16.6,-78 35 36,P,Ellip?,Perturbed knotted ring off-center nucleus,14 40 22.4,-78 48 32
81,82,02203,14 57 24.4,-79 54 20,O,Spher,Extended smooth pseudo-ring? two arms?,15 04 27.4,-80 06 06
82,83,00901,15 18 53.4,-86 22 28,O,SBa(r),Broad ring one external arm,15 35 36.6,-86 32 48
83,84,00801,15 35 00.5,-82 39 52,O,SBa(r),Smooth ring,15 44 44.1,-82 49 28
84,85,00803,15 51 06.3,-85 29 55,P,Sa(r),"Elliptical ring with two simetrical blobs, internal ring?",16 06 04.5,-85 38 22
85,86,00902,16 05 08.2,-83 06 52,P,Spher,"Ringed?, warped ring?, companion",16 15 58.2,-83 14 33
86,87,00804,16 06 13.5,-84 39 32,P,Spher,"Faint narrow ring, off-center nucleus, Saturn type?",16 19 33.2,-84 47 04
87,88,00903,16 11 49.0,-82 24 53,O,SBa(r),"Broad ring, real companion?",16 21 58.4,-82 32 09
88,89,00904,16 12 05.0,-82 22 10,P,Sa(r),"Filamentary broad ring, warped",16 22 11.9,-82 29 25
89,90,02301,16 20 32.0,-78 21 17,O,SBa(r),Smooth ring,16 28 03.7,-78 28 04
90,91,02302,16 23 31.7,-80 59 08,P,Ellip,"Knotted ring, nucleus in the ring, intruder close to the center of the ring",16 32 35.7,-81 05 40
91,92,02303,16 24 09.5,-78 20 40,O,Ellip,Faint smooth ring or two tight arms?,16 31 42.9,-78 27 12
92,93,00905,16 36 52.7,-84 23 30,O,Spher,"Round ring, Saturn-like object, filaments?",16 50 15.0,-84 28 58
93,94,02304,16 46 04.8,-79 58 54,P,Ellip,"Smooth ring, one knot, off-center nucleus, companions",16 54 41.1,-80 03 54
94,95,00906,17 15 10.2,-86 20 03,P,Ellip,"Faint ring?, off-center nucleus",17 35 01.4,-86 22 35
95,96,02401,17 40 54.8,-79 00 58,P,Ellip,"Perturbed ring, interacting",17 49 12.5,-79 02 03
96,97,02402,18 22 33.7,-78 52 37,O,Ellip,Faint smooth ring?,18 30 44.6,-78 50 41
97,98,02403,18 29 54.3,-82 05 49,O,Spher,"Faint smooth ring, compact companion?",18 40 22.6,-82 03 16
98,99,02404,18 30 42.2,-77 34 27,O,SBa(r),Smooth ring,18 38 15.4,-77 31 57
99,100,02405,18 46 34.0,-78 57 39,P,SBa(r),Faint external ring centered internal ring,18 54 41.1,-78 53 59
100,101,01001,18 48 49.0,-85 23 02,O,SBa(r),Broad ring,19 04 39.6,-85 18 56
101,102,02406,18 50 20.2,-79 37 54,O,Sa/SBa(r),Faint smooth ring or tight spiral arms?,18 58 47.8,-79 33 58
102,103,01002,19 00 17.2,-83 05 06,P,Ellip,"Faint narrow ring, off-center nucleus, close companion",19 11 36.4,-83 00 21
103,104,01003,19 05 57.3,-84 52 47,P,Ellip,Bright ring nucleus in the ring interacting,19 20 13.5,-84 47 33
104,105,02502,19 13 12.4,-78 32 06,O,SBa(r),Smooth ring,19 20 56.0,-78 26 35
105,106,02503,19 25 56.1,-78 01 14,O,SBa(r),"Narrow ring, material out of the ring, close to a bright star",19 33 19.8,-77 54 52
106,107,01004,19 37 20.9,-83 12 13,O,SBa(r),Ringed or spiral?,19 48 15.6,-83 04 58
107,108,01005,19 40 02.2,-82 41 45,P,Ellip,"Faint narrow ring?, nucleus close to the ring",19 50 19.5,-82 34 21
108,109,01006,19 46 29.4,-82 48 49,P,Ellip,Warped ring?,19 56 47.4,-82 41 00
109,110,01007,19 49 42.2,-86 59 35,P,Ellip,Broken ring or tail?,20 10 13.3,-86 51 14
110,111,02504,20 03 49.9,-78 59 54,P,Ellip,"Nucleus close to the ring, knotty ring",20 11 13.6,-78 51 04
111,112,02601,20 16 12.4,-81 44 12,,,"Ringed or peculiar spiral?, blobbed nucleus",20 24 58.8,-81 34 35
112,113,01008,20 21 34.9,-84 50 24,P,Ellip,"Faint narrow ring, big nucleus in the ring, knot in the ring or intruder?",20 33 50.9,-84 40 22
113,114,02602,20 51 28.5,-79 56 03,O,Ellip,Faint smooth ring,20 58 31.6,-79 44 30
114,115,02603,21 30 33.1,-77 41 04,P,Sa(r),Faint smooth ring,21 36 08.0,-77 27 40
115,116,00214,21 49 46.4,-85 11 16,P,Ellip,"Faint ring, nucleus close to the ring, interacting triple (close to bright galaxy)",21 59 03.8,-84 57 00
116,117,02701,22 21 01.8,-81 28 41,O,Sa(r),Ring or two tight arms?,22 26 34.7,-81 13 25
117,118,02703,22 25 41.3,-81 20 50,O,Spindle,"Ringed, extended halo?",22 31 03.5,-81 05 26
118,119,02704,22 28 06.8,-79 03 19,P,Spher,"Knotty ring, small off-center nucleus",22 32 50.6,-78 47 52
119,120,00215,22 45 57.3,-82 21 03,P,Spher,"Tight ring, two companions",22 51 01.2,-82 05 09
120,121,01102,22 45 32.7,-84 23 32,O/P,Ellip,Faint broad ring centered nucleus,22 51 30.5,-84 07 38
121,122,01103,22 47 27.6,-84 23 10,O/P,Spher,Saturn-like object,22 53 20.0,-84 07 13
122,123,00216,22 56 58.0,-84 20 21,O,Sa(r),Smooth ring,23 02 23.1,-84 04 13
123,124,02702,23 07 37.7,-80 52 46,O,Sa(r),Smooth ring,23 11 40.9,-80 36 28
