Object  RA  DEC  z  Class
SPRC 150  14 48 17.26  +60 18 34.3  0.050672  PRG
SPRC 151  14 51 26.30  +18 01 38.5  -  PRG
SPRC 152  14 53 16.45  +16 32 45.1  0.044104  PRG
SPRC 153  14 54 02.24  +36 17 41.4  0.186303  PRG
SPRC 154  14 57 10.71  +27 56 30.6  0.059925  PRG
SPRC 155  15 06 39.12  +27 00 24.2  0.058463  PRG
SPRC 156  15 16 21.58  +08 06 04.7  0.030944  PRG
SPRC 157  15 24 46.34  +33 48 26.2  0.082300  PRG
SPRC 158  15 25 28.59  +02 46 44.2  0.115830  PRG
SPRC 159  15 30 04.63  +14 57 55.8  0.150585  PRG
SPRC 160  15 33 22.82  +33 29 33.4  0.076770  PRG
SPRC 161  15 36 19.28  +33 46 27.7  0.074600  PRG
SPRC 162  15 37 03.02  +59 06 58.5  0.090251  PRG
SPRC 163  15 44 42.15  +11 21 59.9  0.047405  PRG
SPRC 164  15 47 07.11  +34 25 36.1  0.006922  PRG
SPRC 165  15 49 53.86  +64 14 03.7  0.165057  PRG
SPRC 166  15 52 36.10  +33 11 37.5  0.075105  PRG
SPRC 167  15 56 42.98  +48 02 53.1  0.018315  PRG
SPRC 168  15 57 14.20  +26 28 54.3  0.072108  PRG
SPRC 169  16 00 13.82  +17 50 53.8  0.006848  PRG
SPRC 170  16 02 09.77  +06 38 51.4  0.073471  PRG
SPRC 171  16 05 14.60  +41 11 18.3  0.006776  PRG
SPRC 172  16 18 11.02  +56 44 09.0  0.092613  PRG
SPRC 173  16 21 28.25  +28 38 24.8  0.002972  PRG
SPRC 174  16 22 02.63  +48 01 38.4  0.008116  PRG
SPRC 175  16 27 30.74  +49 06 00.8  0.190790  PRG
SPRC 176  16 32 02.04  +43 11 49.0  0.030920  PRG
SPRC 177  16 33 47.53  +22 48 35.6  0.279547  PRG
SPRC 178  16 36 52.00  +34 15 04.3  0.096544  PRG
SPRC 179  17 03 08.79  +46 22 25.1  0.032056  PRG
SPRC 180  17 04 06.73  +38 52 57.6  0.035316  PRG
SPRC 181  17 08 17.84  +29 53 40.0  0.149268  PRG
SPRC 182  19 33 27.34  +35 49 30.1  0.014760  PRG
SPRC 183  21 37 48.61  -07 40 28.1  0.058152  PRG
SPRC 184  22 08 21.70  +18 27 15.1  0.003813  PRG
SPRC 185  23 12 32.10  -00 06 37.0  0.027761  PRG
SPRC 239  00 16 15.19  -10 14 41.1  0.085187  PRG
SPRC 240  00 34 36.18  -09 35 36.8  -  PRG
SPRC 241  02 41 57.00  -06 47 32.3  0.017569  PRG
SPRC 242  07 35 50.48  +32 35 06.3  0.201540  PRG
SPRC 243  07 53 25.87  +15 06 56.8  0.102723  PRG
SPRC 244  07 58 48.20  +38 21 50.5  0.097069  PRG
SPRC 245  08 05 05.38  +40 10 28.4  0.050096  PRG
SPRC 246  08 08 21.30  +07 17 12.6  -  PRG
SPRC 247  08 12 12.08  +44 39 20.5  0.183723  PRG
SPRC 248  08 24 01.83  +16 26 38.2  0.152629  PRG
SPRC 249  08 47 08.70  +19 37 51.7  0.031183  PRG
SPRC 250  08 47 41.69  +13 25 08.8  0.006865  PRG
SPRC 251  08 49 01.21  +41 11 57.2  0.029584  PRG
SPRC 252  10 24 01.96  +10 19 15.8  0.190345  PRG
SPRC 253  10 43 15.06  +10 02 06.0  0.089643  PRG
SPRC 254  11 01 45.49  +25 26 44.4  0.144749  PRG
SPRC 255  11 02 16.90  +38 23 20.2  0.091505  PRG
SPRC 256  11 10 49.29  +13 36 34.1  0.070150  PRG
SPRC 257  11 30 19.31  +58 16 40.8  0.196987  PRG
SPRC 258  11 30 40.21  +50 37 04.6  0.058051  PRG
SPRC 259  11 37 13.65  +23 17 21.9  0.049427  PRG
SPRC 260  11 45 30.25  +09 43 44.8  0.021348  PRG
SPRC 261  12 01 43.47  +00 10 59.2  0.104358  PRG
SPRC 262  12 49 15.77  +04 39 24.5  0.008906  PRG
SPRC 263  13 01 13.66  +58 06 44.2  0.028092  PRG
SPRC 264  13 16 14.69  +41 29 40.1  0.020741  PRG
SPRC 265  13 20 22.67  -00 24 07.6  0.109975  PRG
SPRC 266  13 20 54.29  +41 35 35.5  0.155195  PRG
SPRC 267  13 37 39.21  +54 35 24.8  0.068336  PRG
SPRC 268  13 40 04.76  +64 03 02.0  0.152120  PRG
SPRC 269  14 04 53.72  +12 43 18.1  0.013672  PRG
SPRC 270  14 09 31.41  +50 08 17.3  0.072441  PRG
SPRC 271  14 51 48.17  +16 47 27.7  0.119635  PRG
SPRC 272  15 45 47.04  +14 06 13.5  0.073694  PRG
SPRC 273  16 06 07.97  +10 34 06.0  0.171620  PRG
SPRC 274  16 33 09.59  +34 55 34.7  0.034908  PRG
SPRC 275  20 53 53.46  -00 58 05.4  0.106092  PRG
A 0136-0801  01 38 55.2  -07 45 56  0.018439  PRG
ESO 415-G26  02 28 20.1  -31 52 52  0.015357  PRG
NGC 2685  08 55 34.7  +58 44 04  0.002945  PRG
UGC 7576  12 27 41.8  +28 41 53  0.023406  PRG
NGC 4650A  12 44 49.0  -40 42 52  0.009607  PRG
UGC 9796  15 15 56.3  +43 10 00  0.017980  PRG
IC 0051  00 46 24.2  -13 26 32  0.005736  PRG
A 0113-5442  01 15 28.7  -54 26 53  0.017882  PRG
IC 1689  01 23 47.8  +33 03 19  0.015231  PRG
A 0336-4905  03 37 57.6  -48 55 40  0.072274  PRG
A 0351-5458  03 52 49.3  -54 49 50  0.060347  PRG
AM 0442-622  04 43 07.6  -62 19 42  0.023900  PRG
Abell 548-17  05 44 34.8  -26 05 19  0.042773  PRG
AM 0623-371  06 24 48.8  -37 21 21  0.032506  PRG
UGC 5119  09 37 12.6  +38 05 33  0.020050  PRG
A 0950-2234  09 52 53.9  -22 48 34  0.049034  PRG
UGC 5600  10 24 09.9  +78 37 44  0.009417  PRG
ESO 503-G17  11 26 52.5  -27 42 21  0.034907  PRG
Abell 1631-14  12 52 32.4  -15 52 28  0.042750  PRG
Abell 1644-105  12 57 37.2  -17 11 19  0.053417  PRG
A 1256-1710  12 58 43.5  -17 26 49  0.048587  PRG
NGC 5122  13 24 14.9  -10 39 15  0.009400  PRG
UGC 9562  14 51 14.4  +35 32 32  0.004256  PRG
AM 1934-563  19 38 38.4  -56 27 29  0.038857  PRG
AM 2020-504  20 23 54.9  -50 39 07  0.016945  PRG
A 2135-2132  21 38 20.0  -21 19 06  0.034567  PRG
ESO 603-G21  22 51 22.0  -20 14 50  0.010421  PRG
A 2329-4102  23 31 54.6  -40 45 44  0.045312  PRG
A 2330-3751  23 32 41.9  -37 34 32  0.040152  PRG
A 2333-1637  23 35 57.5  -16 39 19  0.014954  PRG
A 2349-3927  23 51 41.4  -39 10 30  0.055752  PRG
A 2350-4042  23 53 20.2  -40 25 52  0.054911  PRG
ESO 293-IG17  23 56 25.4  -39 10 36  0.051035  PRG
