Object,RA,DEC,Class
FM 304-3,04 35 29.00,-39 30 57.14,PRG
OA 01701,04 37 45.31,-47 17 29.10,PRG
AM 0436-472,04 37 45.82,-47 15 10.52,PRG
AM 0438-530,04 38 38.34,-53 03 20.49,PRG
FM 85-1 ,04 38 39.34,-66 13 57.20,PRG
FM 360-26,04 39 13.80,-37 39 51.00,PRG
AM 0438-503,04 39 20.54,-50 31 48.20,PRG
HRG 36101,04 39 37.20,-37 05 05.92,PRG
HRG 00402,04 42 50.93,-85 28 47.13,PRG
AM 0442-622,04 43 07.45,-62 19 37.84,PRG
OA 00901,04 43 25.87,-62 19 25.84,PRG
HRG 36102,04 44 07.14,-32 54 35.13,PRG
FM 251-33,04 44 08.04,-44 06 46.84,PRG
HRG 15704,04 45 31.72,-54 34 23.67,PRG
FM 85-12,04 48 15.27,-63 27 44.60,PRG
HRG 11802,04 48 53.55,-63 37 16.03,PRG
HRG 00503,04 52 44.10,-85 52 04.65,PRG
HRG 01601,04 53 07.26,-81 54 04.07,PRG
HRG 00403,04 53 45.54,-82 14 25.87,PRG
HRG 36103,04 53 50.13,-33 13 48.32,PRG
HRG 36104,04 55 17.83,-37 06 18.81,PRG
FM 251-47,04 57 01.67,-46 45 00.35,PRG
HRG 00404,05 02 30.66,-86 02 59.93,PRG
HRG 01503,05 08 35.55,-77 17 51.61,PRG
HRG 15901,05 17 07.67,-54 04 00.02,PRG
FM 85-35,05 18 14.43,-62 12 13.68,PRG
HRG 00504,05 20 26.64,-86 49 17.62,PRG
ESO 305-G21,05 22 42.53,-39 03 46.96,PRG
FM 305-17,05 23 00.36,-38 52 11.36,PRG
HRG 00505,05 28 07.79,-85 50 01.10,PRG
HRG 15902,05 28 41.40,-56 56 05.85,PRG
HRG 00406,05 29 21.20,-85 55 42.88,PRG
AM 0529-442,05 31 09.79,-44 25 51.74,PRG
AM 0530-421,05 31 40.65,-42 09 54.43,PRG
HRG 01602,05 32 06.12,-78 47 17.21,PRG
HRG 01603,05 33 32.41,-77 28 27.94,PRG
HRG 01604,05 40 02.03,-81 58 53.35,PRG
Abell 548-17,05 44 34.73,-26 05 16.91,PRG
Abell 548-71,05 45 05.12,-25 51 27.77,PRG
AM 0544-393,05 45 50.86,-39 29 37.60,PRG
HRG 01605,05 47 04.21,-80 18 31.04,PRG
FM 363-11,05 47 21.98,-35 49 27.87,PRG
FM 424-20,05 49 29.62,-33 03 40.75,PRG
